_id.courseId,_id.sectionId,_id.unitId,wrong,correct
63,1,2,422,536
63,2,2,100,421
63,2,5,406,257
63,3,2,59,213
63,3,3,53,208
63,4,10,51,81
63,4,11,19,81
63,4,2,37,150
63,4,3,165,142
63,4,4,105,138
63,4,9,58,84
63,5,10,70,66
63,5,11,34,65
63,5,12,33,65
63,5,2,21,78
63,5,3,4,79
63,5,4,55,78
63,5,6,63,76
63,5,7,3,1
63,6,2,62,54
63,6,3,70,55
63,7,2,40,57
63,7,3,46,56
66,10,3,2,1
66,2,3,287,581
66,2,4,157,560
66,2,8,250,425
66,2,9,155,420
66,3,12,9,3
66,3,13,1,2
66,3,15,4,1
66,3,16,5,2
66,3,2,155,354
66,3,3,182,349
66,3,5,243,304
66,3,6,266,291
66,3,7,7,4
66,3,8,4,4
66,4,10,82,205
66,4,11,258,205
66,4,16,126,192
66,4,17,84,191
66,4,2,169,238
66,4,3,89,246
66,4,8,53,207
66,5,13,216,165
66,5,14,146,162
66,5,17,2,1
66,5,2,82,193
66,5,20,36,150
66,5,21,28,147
66,5,3,106,190
66,5,5,87,178
66,5,6,260,182
66,6,13,2,1
66,6,14,1,1
66,6,2,51,137
66,6,20,1,1
66,6,3,86,134
66,7,10,99,103
66,7,11,172,101
66,7,12,59,89
66,7,16,26,89
66,7,17,49,89
66,7,2,91,126
66,7,3,92,125
66,7,5,68,114
66,7,9,67,102
66,8,10,3,1
66,8,13,63,80
66,8,17,90,71
66,8,2,62,100
66,8,3,66,97
66,8,5,102,90
66,8,9,97,83
66,9,13,3,1
66,9,17,1,1
66,9,2,10,72
66,9,3,35,72
66,9,9,3,1
